symbol,security_id
TECHM,13538
TECHNOE,6445
TEGA,7105
TEJASNET,21131
TENNIND,759880
THELEELA,757014
THERMAX,3475
TIINDIA,312
TIMKEN,14198
TITAGARH,15414
TITAN,3506
TMCV,759782
TMPV,3456
TORNTPHARM,3518
TORNTPOWER,13786
TRAVELFOOD,757545
TRENT,1964
TRIDENT,9685
TRITURBINE,25584
TTML,8954
TVSMOTOR,8479
UBL,16713
UCOBANK,11223
ULTRACEMCO,11532
UNIONBANK,10753
UNITDSPR,10447
UNOMINDA,14154
UPL,11287
URBANCO,759084
USHAMART,8840
UTIAMC,527
VBL,18921
VEDL,3063
VIJAYA,5585
VMM,27969
VOLTAS,3718
VTL,2073
WAAREEENER,25907
WELCORP,11821
WELSPUNLIV,11253
WHIRLPOOL,18011
WIPRO,3787
WOCKPHARMA,7506
YESBANK,11915
ZEEL,3812
ZENSARTECH,1076
ZENTEC,7508
ZFCVINDIA,16915
ZYDUSLIFE,7929
ZYDUSWELL,17635
