symbol,security_id
ABB,13
ADANIENSOL,10217
ADANIGREEN,3563
ADANIPOWER,17388
AMBUJACEM,1270
BAJAJHLDNG,305
BANKBARODA,4668
BOSCHLTD,2181
BPCL,526
BRITANNIA,547
CANBK,10794
CGPOWER,760
CHOLAFIN,685
CUMMINSIND,1901
DIVISLAB,10940
DLF,14732
DMART,19913
ENRIN,756871
GAIL,4717
GODREJCP,10099
HAL,2303
HDFCAMC,4244
HINDZINC,1424
HYUNDAI,25844
INDHOTEL,1512
IOC,1624
IRFC,2029
JINDALSTEL,6733
LODHA,3220
LTM,17818
MAZDOCK,509
MOTHERSON,4204
MUTHOOTFIN,23650
PFC,14299
PIDILITIND,2664
PNB,10666
RECLTD,15355
SHREECEM,3103
SIEMENS,3150
SOLARINDS,13332
TATACAP,759265
TATAPOWER,3426
TMCV,759782
TORNTPHARM,3518
TVSMOTOR,8479
UNIONBANK,10753
UNITDSPR,10447
VBL,18921
VEDL,3063
ZYDUSLIFE,7929
