Symbol,Entry Date,Entry Time,Exit Date,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Charges,Net P&L,Return %,Holding Time,Exit Reason
SBIN,2023-07-07,09:55:00,2023-07-07,10:30:00,591.85,591.15,506,-354.200000000023,154.415433248,-508.615433248023,-0.16983506638694137,35,Target Exit
SBIN,2023-07-11,09:40:00,2023-07-11,10:10:00,591.05,590.95,504,-50.39999999995416,153.93461612800002,-204.33461612795418,-0.06859416727023142,30,Target Exit
SBIN,2023-07-14,10:00:00,2023-07-14,10:10:00,587.75,588.95,503,603.6000000000229,153.3171047976,450.2828952024229,0.15230874056466742,10,Stop Loss
SBIN,2023-07-17,09:40:00,2023-07-17,09:50:00,585.95,587.75,510,917.9999999999768,154.553404312,763.4465956879768,0.255474717841473,10,Target Exit
SBIN,2023-07-18,09:35:00,2023-07-18,09:45:00,600.75,599.95,504,-403.1999999999771,155.5845060928,-558.7845060927771,-0.18455254545996638,10,Stop Loss
SBIN,2023-07-20,09:20:00,2023-07-20,09:30:00,600.95,603.65,498,1344.599999999966,154.8339399808,1189.766060019166,0.3975519550601661,10,Target Exit
SBIN,2023-07-21,09:20:00,2023-07-21,09:30:00,616.75,613.55,497,-1590.4000000000226,156.5838517016,-1746.9838517016226,-0.5699323959000447,10,Target Exit
SBIN,2023-07-24,10:00:00,2023-07-24,10:10:00,617.15,617.25,481,48.10000000001094,153.5903959664,-105.49039596638906,-0.03553670137387595,10,Stop Loss
SBIN,2023-07-25,09:40:00,2023-07-25,09:55:00,616.45,615.85,481,-288.60000000001094,153.3723732888,-441.9723732888109,-0.14905693615523088,15,Stop Loss
SBIN,2023-07-25,10:05:00,2023-07-25,10:20:00,615.25,612.55,479,-1293.3000000000218,152.4340452512,-1445.7340452512217,-0.490570323434292,15,Stop Loss
SBIN,2023-07-27,10:00:00,2023-07-27,10:10:00,615.85,617.25,465,650.9999999999894,150.009605404,500.9903945959894,0.17494498628820188,10,Stop Loss
SBIN,2023-07-28,09:20:00,2023-07-28,09:40:00,616.25,617.55,470,610.9999999999786,151.16886393599998,459.83113606397865,0.15876091185153118,20,Target Exit
SBIN,2023-07-31,09:20:00,2023-07-31,09:45:00,616.25,617.75,473,709.5,151.859851032,557.640148968,0.1913092466516002,25,Target Exit
SBIN,2023-08-01,09:20:00,2023-08-01,09:40:00,619.35,618.45,475,-427.4999999999892,152.50040008000002,-580.0004000799893,-0.19715079903973665,20,Stop Loss
