Date,Timestamp,Net_Asset_Value,Cash
2023-07-07,2023-07-07T09:15:00,60000.0,60000.0
2023-07-10,2023-07-10T09:15:00,57023.79453559755,57023.79453559755
2023-07-11,2023-07-11T09:15:00,50753.05221940478,50753.05221940478
2023-07-12,2023-07-12T09:15:00,51756.13632829682,51756.13632829682
2023-07-13,2023-07-13T09:15:00,49056.31004206333,49056.31004206333
2023-07-14,2023-07-14T09:15:00,47970.961448652495,47970.961448652495
2023-07-17,2023-07-17T09:15:00,47339.15923949407,47339.15923949407
2023-07-18,2023-07-18T09:15:00,44754.00177906529,44754.00177906529
2023-07-19,2023-07-19T09:15:00,41923.225727498066,41923.225727498066
2023-07-20,2023-07-20T09:15:00,40636.97617650853,40636.97617650853
2023-07-21,2023-07-21T09:15:00,42208.402870798134,42208.402870798134
2023-07-24,2023-07-24T09:15:00,41076.82349470965,41076.82349470965
2023-07-25,2023-07-25T09:15:00,40338.12816274003,40338.12816274003
2023-07-26,2023-07-26T09:15:00,40872.45879611684,40872.45879611684
2023-07-27,2023-07-27T09:15:00,36619.14801535162,36619.14801535162
2023-07-28,2023-07-28T09:15:00,36550.50210821765,36550.50210821765
2023-07-31,2023-07-31T09:15:00,35049.05242299207,35049.05242299207
2023-08-01,2023-08-01T09:15:00,35001.75378296242,35001.75378296242
2023-08-02,2023-08-02T09:15:00,33109.94813472964,33109.94813472964
2023-08-03,2023-08-03T09:15:00,27862.271295540442,27862.271295540442
2023-08-04,2023-08-04T09:15:00,25938.95381507001,25938.95381507001
2023-08-07,2023-08-07T09:15:00,26000.278555554803,26000.278555554803
2023-08-08,2023-08-08T09:15:00,25601.956773242797,25601.956773242797
2023-08-09,2023-08-09T09:15:00,25000.324629437164,25000.324629437164
2023-08-10,2023-08-10T09:15:00,26216.795787626776,26216.795787626776
2023-08-11,2023-08-11T09:15:00,25168.773672811134,25168.773672811134
2023-08-14,2023-08-14T09:15:00,23540.775612077574,23540.775612077574
2023-08-16,2023-08-16T09:15:00,24418.978407260394,24418.978407260394
2023-08-17,2023-08-17T09:15:00,25837.679305837955,25837.679305837955
2023-08-18,2023-08-18T09:15:00,24803.589135054324,24803.589135054324
2023-08-21,2023-08-21T09:15:00,24080.313433836694,24080.313433836694
2023-08-22,2023-08-22T09:15:00,23942.19842824788,23942.19842824788
2023-08-23,2023-08-23T09:15:00,23256.735489535873,23256.735489535873
2023-08-24,2023-08-24T09:15:00,22432.87344092429,22432.87344092429
2023-08-25,2023-08-25T09:15:00,21166.6743396299,21166.6743396299
2023-08-28,2023-08-28T09:15:00,21281.764960961125,21281.764960961125
2023-08-29,2023-08-29T09:15:00,20499.92349486072,20499.92349486072
2023-08-30,2023-08-30T09:15:00,20615.928878077495,20615.928878077495
2023-08-31,2023-08-31T09:15:00,19716.94100960708,19716.94100960708
2023-09-01,2023-09-01T09:15:00,18769.427343498304,18769.427343498304
2023-09-04,2023-09-04T09:15:00,18880.612132819908,18880.612132819908
2023-09-05,2023-09-05T09:15:00,18273.309483368706,18273.309483368706
2023-09-06,2023-09-06T09:15:00,17791.083417835922,17791.083417835922
2023-09-07,2023-09-07T09:15:00,17489.22506157591,17489.22506157591
2023-09-08,2023-09-08T09:15:00,17575.249175771503,17575.249175771503
2023-09-11,2023-09-11T09:15:00,17991.824249181867,17991.824249181867
2023-09-12,2023-09-12T09:15:00,18000.59998663947,18000.59998663947
2023-09-13,2023-09-13T09:15:00,16089.284059998638,16089.284059998638
2023-09-14,2023-09-14T09:15:00,16053.281123159424,16053.281123159424
2023-09-15,2023-09-15T09:15:00,15287.791793312223,15287.791793312223
2023-09-18,2023-09-18T09:15:00,14869.480601404255,14869.480601404255
2023-09-20,2023-09-20T09:15:00,14533.67095727229,14533.67095727229
2023-09-21,2023-09-21T09:15:00,14055.718595883474,14055.718595883474
2023-09-22,2023-09-22T09:15:00,13234.466170596264,13234.466170596264
2023-09-25,2023-09-25T09:15:00,12362.35584729664,12362.35584729664
2023-09-26,2023-09-26T09:15:00,11968.275360381056,11968.275360381056
2023-09-27,2023-09-27T09:15:00,11478.232721314642,11478.232721314642
2023-09-28,2023-09-28T09:15:00,11464.117728216224,11464.117728216224
2023-09-29,2023-09-29T09:15:00,10782.271973859039,10782.271973859039
2023-10-03,2023-10-03T09:15:00,10778.327335724643,10778.327335724643
2023-10-04,2023-10-04T09:15:00,10261.759139103444,10261.759139103444
2023-10-05,2023-10-05T09:15:00,10103.971371616644,10103.971371616644
2023-10-06,2023-10-06T09:15:00,10357.58745186303,10357.58745186303
2023-10-09,2023-10-09T09:15:00,9948.404359079017,9948.404359079017
2023-10-10,2023-10-10T09:15:00,9660.248393211405,9660.248393211405
2023-10-11,2023-10-11T09:15:00,9547.391287857805,9547.391287857805
2023-10-12,2023-10-12T09:15:00,9246.278991768195,9246.278991768195
2023-10-13,2023-10-13T09:15:00,9141.19250903539,9141.19250903539
2023-10-16,2023-10-16T09:15:00,9046.006487744191,9046.006487744191
2023-10-17,2023-10-17T09:15:00,9234.945611272997,9234.945611272997
2023-10-18,2023-10-18T09:15:00,8524.041198012215,8524.041198012215
2023-10-19,2023-10-19T09:15:00,8455.753559575816,8455.753559575816
2023-10-20,2023-10-20T09:15:00,8418.193280410218,8418.193280410218
2023-10-23,2023-10-23T09:15:00,7844.119050203022,7844.119050203022
2023-10-25,2023-10-25T09:15:00,7172.7062198934145,7172.7062198934145
2023-10-26,2023-10-26T09:15:00,6766.808181643828,6766.808181643828
2023-10-27,2023-10-27T09:15:00,6843.505960343835,6843.505960343835
2023-10-30,2023-10-30T09:15:00,6755.8585386238265,6755.8585386238265
2023-10-31,2023-10-31T09:15:00,6286.065370615015,6286.065370615015
2023-11-01,2023-11-01T09:15:00,6164.648194415811,6164.648194415811
2023-11-02,2023-11-02T09:15:00,5994.289117063006,5994.289117063006
2023-11-03,2023-11-03T09:15:00,6082.3286848998,6082.3286848998
2023-11-06,2023-11-06T09:15:00,5824.104583201399,5824.104583201399
2023-11-07,2023-11-07T09:15:00,5717.723525033398,5717.723525033398
2023-11-08,2023-11-08T09:15:00,5537.530034724594,5537.530034724594
2023-11-09,2023-11-09T09:15:00,5339.998919500591,5339.998919500591
2023-11-10,2023-11-10T09:15:00,5160.644212844592,5160.644212844592
2023-11-12,2023-11-12T18:15:00,4984.570726255788,4984.570726255788
2023-11-13,2023-11-13T09:15:00,4984.570726255788,4984.570726255788
2023-11-15,2023-11-15T09:15:00,4970.331020972582,4970.331020972582
