Symbol,Entry Date,Entry Time,Exit Date,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Charges,Net P&L,Return %,Holding Time,Exit Reason
TMPV,2023-07-07,09:55:00,2023-07-07,10:15:00,600.1,599.55,500,-275.0000000000341,154.6439942,-429.6439942000341,-0.14319079960007802,20,Target Exit
TMPV,2023-07-07,10:30:00,2023-07-07,11:20:00,598.85,594.25,497,-2286.200000000011,153.1946361432,-2439.3946361432113,-0.8196107046027391,50,Target Exit
TMPV,2023-07-07,11:30:00,2023-07-07,12:50:00,594.65,594.55,481,-48.10000000001094,149.6843127152,-197.78431271521094,-0.06914891067500563,80,Target Exit
TMPV,2023-07-07,13:15:00,2023-07-07,14:05:00,593.65,594.15,480,240.0,149.382521344,90.617478656,0.031800962497543446,50,Target Exit
TMPV,2023-07-10,09:45:00,2023-07-10,09:55:00,631.25,628.65,455,-1183.0000000000105,149.78331829200002,-1332.7833182920106,-0.46403074948693657,10,Target Exit
TMPV,2023-07-10,11:15:00,2023-07-10,13:50:00,629.05,623.65,442,-2386.79999999999,146.1460206384,-2532.94602063839,-0.9110002552287926,155,Target Exit
TMPV,2023-07-10,14:10:00,2023-07-10,15:20:00,623.25,617.95,427,-2263.0999999999804,141.9129772624,-2405.0129772623804,-0.9037062002224046,70,Square Off
TMPV,2023-07-11,11:10:00,2023-07-11,12:10:00,625.55,624.85,405,-283.4999999999724,137.90569151199998,-421.40569151197235,-0.16633488614442893,60,Target Exit
TMPV,2023-07-11,12:30:00,2023-07-11,13:10:00,623.75,625.35,403,644.8000000000092,137.46585086480002,507.33414913520915,0.2018266405307724,40,Target Exit
TMPV,2023-07-11,13:50:00,2023-07-11,14:55:00,625.05,627.65,406,1055.6000000000092,138.4443487312,917.1556512688093,0.36141173780730423,65,Target Exit
TMPV,2023-07-12,09:25:00,2023-07-12,09:50:00,628.25,629.35,413,454.3000000000094,140.3119806288,313.98801937120936,0.12101258227048284,25,Target Exit
TMPV,2023-07-12,10:20:00,2023-07-12,10:50:00,626.55,625.65,415,-373.49999999999056,140.270052688,-513.7700526879905,-0.19758999712058312,30,Target Exit
TMPV,2023-07-12,11:10:00,2023-07-12,12:50:00,625.45,623.75,412,-700.4000000000187,139.3395395904,-839.7395395904188,-0.3258778105358001,100,Target Exit
TMPV,2023-07-12,13:05:00,2023-07-12,13:15:00,624.05,623.55,406,-203.0,137.9349009056,-340.9349009056,-0.13456311757639097,10,Target Exit
TMPV,2023-07-12,13:25:00,2023-07-12,14:00:00,623.35,623.35,404,0.0,137.4450025568,-137.4450025568,-0.054577749637974945,35,Target Exit
TMPV,2023-07-12,14:50:00,2023-07-12,15:20:00,623.55,620.95,402,-1045.1999999999634,136.724809864,-1181.9248098639634,-0.4715117420131974,30,Square Off
TMPV,2023-07-13,10:25:00,2023-07-13,11:05:00,624.75,624.85,393,39.300000000008936,135.1963665328,-95.89636653279106,-0.039057400683547135,40,Target Exit
TMPV,2023-07-13,11:45:00,2023-07-13,12:50:00,625.55,624.25,391,-508.2999999999822,134.7023454368,-643.0023454367822,-0.2628898213303371,65,Target Exit
TMPV,2023-07-13,13:30:00,2023-07-13,15:15:00,623.45,622.9,387,-212.8500000000264,133.5998814412,-346.4498814412264,-0.14359119927652159,105,Target Exit
TMPV,2023-07-14,10:10:00,2023-07-14,11:10:00,623.85,623.25,384,-230.40000000000873,132.9796056064,-363.37960560640875,-0.15168727358606868,60,Target Exit
TMPV,2023-07-14,11:40:00,2023-07-14,13:15:00,621.95,620.75,382,-458.40000000001737,132.2064658064,-590.6064658064174,-0.2485875431504348,95,Target Exit
TMPV,2023-07-14,13:40:00,2023-07-14,14:15:00,620.75,621.95,378,453.6000000000172,131.4161377456,322.1838622544172,0.13730781472933076,35,Target Exit
TMPV,2023-07-17,09:20:00,2023-07-17,13:00:00,624.15,619.45,378,-1776.5999999999742,131.2317714208,-1907.8317714207742,-0.8086476004914935,220,Target Exit
TMPV,2023-07-17,14:20:00,2023-07-17,15:20:00,619.75,618.25,366,-549.0,128.32568900799998,-677.3256890079999,-0.29860696032817746,60,Square Off
TMPV,2023-07-18,09:35:00,2023-07-18,10:15:00,616.25,613.75,363,-907.5,127.10046724,-1034.60046724,-0.4624972053889438,40,Target Exit
TMPV,2023-07-18,10:35:00,2023-07-18,12:20:00,613.45,609.25,356,-1495.2000000000162,125.0274722912,-1620.2274722912161,-0.7419024802123998,105,Target Exit
TMPV,2023-07-18,13:05:00,2023-07-18,13:15:00,611.15,611.75,344,206.40000000000782,122.59803365759998,83.80196634240784,0.03986097803721531,10,Target Exit
TMPV,2023-07-18,14:00:00,2023-07-18,15:05:00,613.35,612.95,343,-137.1999999999922,122.5500783784,-259.75007837839223,-0.12346765439733291,65,Target Exit
TMPV,2023-07-19,09:45:00,2023-07-19,09:55:00,615.05,614.85,341,-68.19999999997674,122.3381777784,-190.53817777837673,-0.09084838382039213,10,Target Exit
TMPV,2023-07-19,10:40:00,2023-07-19,11:30:00,613.55,613.15,340,-135.99999999999227,121.91540772799999,-257.91540772799226,-0.12363698616441074,50,Target Exit
TMPV,2023-07-19,12:45:00,2023-07-19,14:05:00,622.05,621.05,332,-332.0,121.1110636192,-453.11106361919997,-0.21940235677177,80,Target Exit
TMPV,2023-07-19,14:30:00,2023-07-19,14:40:00,622.05,621.25,330,-263.999999999985,120.684901864,-384.684901863985,-0.18739841231898685,10,Target Exit
TMPV,2023-07-20,09:20:00,2023-07-20,10:30:00,619.55,618.55,328,-328.0,119.92672023680001,-447.9267202368,-0.22042292706389968,70,Target Exit
TMPV,2023-07-20,11:20:00,2023-07-20,11:40:00,618.05,618.95,325,292.50000000002956,119.2654064,173.23459360002954,0.0862437535424839,20,Target Exit
TMPV,2023-07-20,12:20:00,2023-07-20,12:40:00,618.85,622.55,326,1206.1999999999778,119.84456416639999,1086.3554358335778,0.5384792175044537,20,Target Exit
TMPV,2023-07-20,13:35:00,2023-07-20,14:00:00,619.35,621.45,333,699.3000000000076,121.31000940640001,577.9899905936076,0.28024633526411247,25,Target Exit
